DATE	TREAST	WALCL
2007-01-24	778875	851755
2007-01-31	778863	865730
2007-02-07	778876	855057
2007-02-14	778889	867199
2007-02-21	778902	869235
2007-02-28	780793	877409
2007-03-07	780818	864505
2007-03-14	780842	876108
2007-03-21	780866	863067
2007-03-28	780890	869803
2007-04-04	780926	862319
2007-04-11	782816	865441
2007-04-18	782860	861335
2007-04-25	787149	879686
2007-05-02	787210	890857
2007-05-09	790025	875270
2007-05-16	790103	859559
2007-05-23	790182	873935
2007-05-30	790260	876986
2007-06-06	790322	872706
2007-06-13	790380	864989
2007-06-20	790439	866089
2007-06-27	790497	865105
2007-07-04	790553	876611
2007-07-11	790606	869407
2007-07-18	790660	872916
2007-07-25	790714	863890
2007-08-01	790802	870261
2007-08-08	790820	865453
2007-08-15	789601	864931
2007-08-22	789619	862775
2007-08-29	784637	872873
2007-09-05	779640	871156
2007-09-12	779638	886314
2007-09-19	779635	867732
2007-09-26	779633	889900
2007-10-03	779624	869051
2007-10-10	779608	886363
2007-10-17	779591	869509
2007-10-24	779574	881395
2007-10-31	779586	883385
2007-11-07	779613	885724
2007-11-14	779639	889537
2007-11-21	779670	891028
2007-11-28	779693	879417
2007-12-05	779715	882764
2007-12-12	774735	881750
2007-12-19	769755	887983
2007-12-26	754612	890662
2008-01-02	740627	922187
2008-01-09	728203	880754
2008-01-16	728259	893581
2008-01-23	723315	877253
2008-01-30	718371	900264
2008-02-06	713376	871022
2008-02-13	713369	883005
2008-02-20	713362	878949
2008-02-27	713355	893825
2008-03-05	713388	881208
2008-03-12	703436	896565
2008-03-19	660484	888646
2008-03-26	612305	893965
2008-04-02	581240	883708
2008-04-09	560114	893029
2008-04-16	548632	881904
2008-04-23	548661	885781
2008-04-30	548692	888131
2008-05-07	536714	889228
2008-05-14	515656	880175
2008-05-21	502863	898487
2008-05-28	491091	904054
2008-06-04	486937	895939
2008-06-11	482073	890610
2008-06-18	478734	902304
2008-06-25	478796	892713
2008-07-02	478866	902962
2008-07-09	478951	898034
2008-07-16	479036	910681
2008-07-23	479121	899665
2008-07-30	479206	918625
2008-08-06	479330	901710
2008-08-13	479434	914632
2008-08-20	479538	898611
2008-08-27	479642	909982
2008-09-03	479726	905253
2008-09-10	479782	925725
2008-09-17	479839	995093
2008-09-24	476578	1211825
2008-10-01	476621	1503989
2008-10-08	476579	1591587
2008-10-15	476555	1770809
2008-10-22	476512	1802602
2008-10-29	476469	1969086
2008-11-05	476456	2074205
2008-11-12	476440	2212852
2008-11-19	476425	2187137
2008-11-26	476407	2106117
2008-12-03	476354	2136924
2008-12-10	476246	2250012
2008-12-17	476138	2254983
2008-12-24	476014	2232311
2008-12-31	475921	2239457
2009-01-07	475718	2121439
2009-01-14	475515	2049714
2009-01-21	475322	2037112
2009-01-28	475129	1927082
2009-02-04	474982	1851437
2009-02-11	474869	1843400
2009-02-18	474756	1915562
2009-02-25	474643	1916115
2009-03-04	474619	1901317
2009-03-11	474661	1899514
2009-03-18	474704	2066942
2009-03-25	474746	2071556
2009-04-01	492330	2078936
2009-04-08	508414	2088573
2009-04-15	526103	2186498
2009-04-22	534969	2196812
2009-04-29	549046	2066712
2009-05-06	560601	2079758
2009-05-13	577091	2196351
2009-05-20	583271	2181632
2009-05-27	600142	2080115
2009-06-03	606168	2077695
2009-06-10	628690	2052297
2009-06-17	638668	2072527
2009-06-24	653193	2025571
2009-07-01	663470	2005627
2009-07-08	673500	1992740
2009-07-15	684030	2072451
2009-07-22	692726	2039001
2009-07-29	695758	2000547
2009-08-05	705331	1989203
2009-08-12	728974	2014899
2009-08-19	736086	2060641
2009-08-26	744878	2074902
2009-09-02	752841	2083720
2009-09-09	757772	2087946
2009-09-16	759803	2139783
2009-09-23	765633	2158631
2009-09-30	769160	2141020
2009-10-07	769185	2138086
2009-10-14	773460	2192787
2009-10-21	773486	2201119
2009-10-28	774561	2161537
2009-11-04	776512	2165067
2009-11-11	776520	2135035
2009-11-18	776527	2208721
2009-11-25	776535	2206359
2009-12-02	776543	2204074
2009-12-09	776554	2186383
2009-12-16	776565	2235763
2009-12-23	776576	2235803
2009-12-30	776587	2234067
2010-01-06	776595	2235304
2010-01-13	776603	2291700
2010-01-20	776611	2251806
2010-01-27	776619	2246886
2010-02-03	776614	2249319
2010-02-10	776592	2256679
2010-02-17	776571	2277574
2010-02-24	776549	2286127
2010-03-03	776553	2280147
2010-03-10	776591	2282474
2010-03-17	776629	2307997
2010-03-24	776667	2313149
2010-03-31	776705	2307150
2010-04-07	776708	2307575
2010-04-14	776711	2339345
2010-04-21	776714	2337556
2010-04-28	776717	2330472
2010-05-05	776749	2326164
2010-05-12	776792	2336103
2010-05-19	776834	2350890
2010-05-26	776877	2334041
2010-06-02	776913	2336216
2010-06-09	776932	2331529
2010-06-16	776951	2344316
2010-06-23	776970	2344497
2010-06-30	776989	2330851
2010-07-07	776997	2332017
2010-07-14	777005	2340717
2010-07-21	777013	2332322
2010-07-28	777021	2325298
2010-08-04	777019	2326479
2010-08-11	777009	2327533
